"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-entite-juridique","ror-entite-juridique","","","",0,*,"","","","null {[]} {[]}
","Entité juridique dans le contexte ROR","Spécialisation ROR de l'EntiteJuridique du MOS. Correspond à la notion de personne morale dans le contexte du Répertoire Opérationnel des Ressources.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-entite-juridique.statutJuridique","ror-entite-juridique.statutJuridique","","","",1,1,"","","","Coding {[]} {[]}
","Statut juridique de l'entité juridique (obligatoire dans le ROR)","Chaque entité juridique dispose d'un statut juridique qui caractérise la situation juridique de la personne morale.Le statut juridique détermine la situation juridique de l’établissement c’est-à-dire les règles particulières de fonctionnement qui le régissent, notamment sa gestion administrative et financière et la gestion de ses biens. Le statut juridique est attribué à la personne morale ou physique de l’établissement : l’entité juridique. Tous les établissements de la même EJ relèvent du même statut juridique.La nomenclature des statuts juridiques est une notion propre à FINESS.Les statuts juridiques sont eux-mêmes classifiés en grands agrégats qui sont :** Organismes et établissements publics:      - Etat et collectivités territoriales;     - Etablissements publics;** Organismes privés:     - Organismes privés à but non lucratif;     - Organismes privés à caractère commercial;** Personne morale de droit étranger.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-finess-statut-juridique|0.1.0","",,,,"EntiteJuridique.statutJuridique",0,1,"",""
"ror-entite-juridique.agregatStatutJuridiqueNiv1","ror-entite-juridique.agregatStatutJuridiqueNiv1","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de statut juridique de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégats de niveau 2. Par exemple, le code 1000 ""Organismes et Etablissements publics"" regroupe les codes d'agrégat de niveau 2 1100 et 1200.","Agrégat de statut juridique de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégats de niveau 2. Par exemple, le code 1000 ""Organismes et Etablissements publics"" regroupe les codes d'agrégat de niveau 2 1100 et 1200.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R68-FinessAgregatStatutJuridiqueNiv1/FHIR/TRE-R68-FinessAgregatStatutJuridiqueNiv1?vs","",,,,"EntiteJuridique.agregatStatutJuridiqueNiv1",0,1,"",""
"ror-entite-juridique.agregatStatutJuridiqueNiv2","ror-entite-juridique.agregatStatutJuridiqueNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Sous-ensemble d'agrégat de statut juridique (sousEnsembleAgregatStatutJuridique)","Agrégat de statut juridique de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégats de niveau 3. Par exemple, le code 1100 ""Etat et Collectivités territoriales"" regroupe les codes d'agrégats de niveau 3 1110 et 1120. Il caractérise le statut juridique d’une structure au sens du droit applicable (public / privé) et de la finalité (non lucratif / commercial).","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-agreg-statut-juridique-niv2|0.1.0","",,,,"EntiteJuridique.agregatStatutJuridiqueNiv2",0,1,"",""
"ror-entite-juridique.agregatStatutJuridiqueNiv3","ror-entite-juridique.agregatStatutJuridiqueNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de statut juridique de niveau 3. L'agrégat de niveau 3 représente des regroupements de statuts juridiques. Par exemple, le code 1120 ""Collectivité territoriale"" regroupe les statuts juridiques 02, 03 etc.","Agrégat de statut juridique de niveau 3. L'agrégat de niveau 3 représente des regroupements de statuts juridiques. Par exemple, le code 1120 ""Collectivité territoriale"" regroupe les statuts juridiques 02, 03 etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R70-FinessAgregatStatutJuridique/FHIR/TRE-R70-FinessAgregatStatutJuridique?vs","",,,,"EntiteJuridique.agregatStatutJuridiqueNiv3",0,1,"",""
"ror-entite-juridique.codeAPEN","ror-entite-juridique.codeAPEN","","","",0,1,"","","","Coding {[]} {[]}
","Toute entité juridique et chacun de ses établissements (EG) se voit attribuer par l'Insee, lors de son inscription au répertoire SIRENE, un code caractérisant son activité principale par référence à la nomenclature d'activités française (NAF rév. 2). Plus précisément, on distingue le code APEN pour l'EJ.","Toute entité juridique et chacun de ses établissements (EG) se voit attribuer par l'Insee, lors de son inscription au répertoire SIRENE, un code caractérisant son activité principale par référence à la nomenclature d'activités française (NAF rév. 2). Plus précisément, on distingue le code APEN pour l'EJ.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R75-InseeNAFrev2Niveau5/FHIR/TRE-R75-InseeNAFrev2Niveau5?vs","",,,,"EntiteJuridique.codeAPEN",0,1,"",""
"ror-entite-juridique.dateCreation","ror-entite-juridique.dateCreation","","","",0,1,"","","","date {[]} {[]}
","Date de création de l'entité juridique.","Date de création de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.dateCreation",0,1,"",""
"ror-entite-juridique.dateModificationSiren","ror-entite-juridique.dateModificationSiren","","","",0,1,"","","","date {[]} {[]}
","Date de modification du numéro Siren.","Date de modification du numéro Siren.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.dateModificationSiren",0,1,"",""
"ror-entite-juridique.origineModificationSIREN","ror-entite-juridique.origineModificationSIREN","","","",0,1,"","","","string {[]} {[]}
","Origine/nature de la modification du Siren (motif de modification de l’identifiant).","Origine/nature de la modification du Siren (motif de modification de l’identifiant).","","","","","","","","","",,,,,"",,,,"EntiteJuridique.origineModificationSIREN",0,1,"",""
"ror-entite-juridique.dateFermeture","ror-entite-juridique.dateFermeture","","","",0,1,"","","","date {[]} {[]}
","Date de fermeture de l'entité juridique.","Date de fermeture de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.dateFermeture",0,1,"",""
"ror-entite-juridique.typeFermeture","ror-entite-juridique.typeFermeture","","","",0,1,"","","","Coding {[]} {[]}
","Type de fermeture de l'entité juridique, au sens des règles de gestion du SI FINESS (par exemple, fermeture définitive), obligatoire lors de la fermeture de l'entité.","Type de fermeture de l'entité juridique, au sens des règles de gestion du SI FINESS (par exemple, fermeture définitive), obligatoire lors de la fermeture de l'entité.","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J185-typeFermeture-ROR/FHIR/JDV-J185-typeFermeture-ROR","",,,,"EntiteJuridique.typeFermeture",0,1,"",""
"ror-entite-juridique.adresseEJ","ror-entite-juridique.adresseEJ","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Adresse {[]} {[]}
","Adresse géopostale de l'entité juridique.","Adresse géopostale de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.adresseEJ",0,1,"",""
"ror-entite-juridique.contact","ror-entite-juridique.contact","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Contact {[]} {[]}
","Point(s) de contact de l'entité juridique.","Point(s) de contact de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.contact",0,*,"",""
"ror-entite-juridique.telecommunication","ror-entite-juridique.telecommunication","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Telecommunication {[]} {[]}
","Adresse(s) de télécommunication de l'entité juridique (numéro de téléphone, adresse email, URL, etc.).","Adresse(s) de télécommunication de l'entité juridique (numéro de téléphone, adresse email, URL, etc.).","","","","","","","","","",,,,,"",,,,"EntiteJuridique.telecommunication",0,*,"",""
"ror-entite-juridique.boiteLettresMSS","ror-entite-juridique.boiteLettresMSS","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/BoiteLettreMSS {[]} {[]}
","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'entité juridique.","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.boiteLettresMSS",0,*,"",""
"ror-entite-juridique.EntiteGeographique","ror-entite-juridique.EntiteGeographique","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteGeographique {[]} {[]}
","Lien vers la classe EntiteGeographique","Lien vers la classe EntiteGeographique","","","","","","","","","",,,,,"",,,,"EntiteJuridique.EntiteGeographique",1,*,"",""
"ror-entite-juridique.DispositifMedical","ror-entite-juridique.DispositifMedical","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/DispositifMedical {[]} {[]}
","Lien vers la classe DispositifMedical","Lien vers la classe DispositifMedical","","","","","","","","","",,,,,"",,,,"EntiteJuridique.DispositifMedical",0,*,"",""
"ror-entite-juridique.Certificat","ror-entite-juridique.Certificat","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Certificat {[]} {[]}
","Lien vers la classe Certificat","Lien vers la classe Certificat","","","","","","","","","",,,,,"",,,,"EntiteJuridique.Certificat",0,1,"",""
"ror-entite-juridique.metadonnee","ror-entite-juridique.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données de l'entité juridique dans le ROR.","Informations relatives à la gestion des données de l'entité juridique dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-entite-juridique.metadonnee",1,1,"",""
